# Resolved pools list by minerstat for msOS
# Updated Fri Jun  6 03:00:33 UTC 2025
104.26.4.192 2miners.com
188.166.161.62 eu-de01.miningrigrentals.com
165.227.153.169 eu-de02.miningrigrentals.com
65.109.39.107 eu-etc.hiveon.net
34.90.112.127 eu-eth.hiveon.net
104.237.10.164 eu-mine.smartcash.cc
3.127.21.66 eu-pool.wienchain.com
91.210.105.199 eu-ru01.miningrigrentals.com
78.46.178.183 eu-solo-zel.zellabs.net
217.173.235.116 eu-west-stratum.grinmint.com
135.181.20.223 eu-xsg.equihub.pro
135.181.20.223 eu-zcl.equihub.pro
135.181.20.223 eu-zel.equihub.pro
95.216.172.217 eu-zel.zellabs.net
135.181.20.223 eu-zer.equihub.pro
135.181.20.223 eu-zero.equihub.pro
69.16.230.165 eu-zil.rustpool.xyz
168.119.146.54 eu.aionpool.tech
54.37.167.74 eu.altpool.eu
103.224.182.238 eu.bsod.pw
77.247.179.86 eu.btcprivate.pro
141.94.138.162 eu.btgpool.pro
216.128.147.172 eu.crazypool.org
172.65.235.151 eu.emcd.io
135.181.20.223 eu.equihub.pro
51.91.56.176 eu.frostypool.com
103.224.182.210 eu.gethash.cc
79.137.70.48 eu.luckpool.net
207.148.127.135 eu.mecrypto.club
18.193.115.229 eu.nimpool.io
68.183.74.40 eu.pool.ms
64.190.63.222 eu.poolmine.xyz
78.47.203.132 eu.ravenminer.com
149.28.243.131 eu.rito.minermore.com
136.244.92.193 eu.rvn.minermore.com
51.210.219.138 eu.rvnsolo.k1pool.com
68.183.74.40 eu.sandbox.pool.ms
172.104.151.182 eu.siamining.com
69.63.184.142 eu.ss.dpool.top
164.92.209.20 eu.stratum.slushpool.com
192.157.56.142 eu1-3g.whalesburg.com
34.102.152.90 eu1-beam.flypool.org
103.224.182.238 eu1.bsod.pw
135.181.20.223 eu1.equihub.pro
172.67.160.145 eu1.fairpool.pro
185.10.184.211 eu1.ltc.sigmapool.com
172.67.210.217 eu1.mastermining.net
162.210.199.65 eu1.whalesburg.com
144.91.103.228 eu1.zhash.pro
69.16.230.165 eu2-zil.rustpool.xyz
172.65.235.151 eu2.emcd.io
185.107.56.192 eu2.whalesburg.com
167.86.70.134 eupool.sinovate.io
217.146.69.14 eurohash.eu
217.182.84.205 europe.dgb256.online
185.198.234.32 europe.ethash-hub.miningpoolhub.com
185.198.234.32 europe.kawpow-hub.miningpoolhub.com
178.128.199.90 europe.randomx-hub.miningpoolhub.com
162.19.139.119 exp.2miners.com
104.21.49.203 ezil.me
104.18.2.198 f2pool.com
172.104.149.86 fastepic.eu
213.91.128.133 fastpool.xyz
152.53.121.6 fr.moneroocean.stream
46.4.28.18 frankfurt01.hashvault.pro
178.62.207.132 freshgarlicblocks.net
46.4.99.154 fullnode.quarkchain.io
5.9.193.21 gap.suprnova.cc
172.65.165.210 gate.emcd.io
213.32.53.176 geo.pool.akroma.eu
213.32.53.170 geo.pool.whalecoin.eu
5.79.68.107 gomine.pro
172.67.216.7 gpuhash.org
154.220.17.149 gpuhot.com
5.79.68.110 graft.ingest.cryptoknight.cc
207.148.153.11 graft.westcoastxmr.ca
76.223.54.146 grimm-eu.ravepool.com
13.248.169.48 grimm-us.ravepool.com
116.203.132.225 grimm.sunpool.top
185.53.177.52 grin-pool.org
162.19.139.184 grin.2miners.com
47.112.85.133 grin.antpool.com
88.99.142.163 grin.pool.minergate.com
203.107.33.230 grin.sparkpool.com
51.79.251.11 groestl.asia.mine.zergpool.com
188.165.24.209 groestl.eu.mine.zpool.ca
198.50.168.213 groestl.jp.mine.zpool.ca
103.249.70.7 groestl.mine.zergpool.com
51.178.76.133 groestl.mining-dutch.nl
198.50.168.213 groestl.na.mine.zpool.ca
104.248.240.136 grs.suprnova.cc
172.65.217.190 gs.poolbinance.com
152.53.121.6 gulf.moneroocean.stream
8.209.83.152 handshake-de.6block.com
47.88.21.234 handshake-us.6block.com
149.129.80.119 handshake.6block.com
81.163.20.40 hathor.acc-pool.pw
188.165.198.144 haven.miner.rocks
47.112.122.28 hc.antpool.com
188.165.24.209 hex.eu.mine.zpool.ca
198.50.168.213 hex.jp.mine.zpool.ca
198.50.168.213 hex.na.mine.zpool.ca
51.79.251.11 hmq1725.asia.mine.zergpool.com
141.95.55.97 hmq1725.eu.mine.zergpool.com
188.165.24.209 hmq1725.eu.mine.zpool.ca
198.50.168.213 hmq1725.jp.mine.zpool.ca
103.249.70.7 hmq1725.mine.zergpool.com
198.50.168.213 hmq1725.na.mine.zpool.ca
198.50.168.213 hmq1725.sea.mine.zpool.ca
76.223.54.146 hns.pool.blackminer.com
35.76.39.213 hns.ss.dxpool.com
217.182.138.181 hodl.suprnova.cc
188.165.24.209 honeycomb.eu.mine.zpool.ca
198.50.168.213 honeycomb.na.mine.zpool.ca
185.198.234.32 hub.miningpoolhub.com
162.19.139.182 hush.2miners.com
147.135.220.159 hush.suprnova.cc
172.67.71.15 icemining.ca
134.209.156.206 in.stratu.ms
207.244.228.24 infinity.ultranote.org
77.247.179.83 italo.ingest.cryptoknight.cc
104.21.50.223 italo.network
188.165.24.209 jeonghash.eu.mine.zpool.ca
167.179.76.62 jp-01.miningrigrentals.com
146.190.86.78 jp.stratum.slushpool.com
51.79.251.11 k12.asia.mine.zergpool.com
103.249.70.7 k12.mine.zergpool.com
149.56.111.148 k12.na.mine.zergpool.com
51.79.251.11 kawpow.asia.mine.zergpool.com
35.190.124.115 kawpow.br.nicehash.com
141.95.55.97 kawpow.eu.mine.zergpool.com
35.190.124.115 kawpow.eu.nicehash.com
35.190.124.115 kawpow.hk.nicehash.com
35.190.124.115 kawpow.in.nicehash.com
35.190.124.115 kawpow.jp.nicehash.com
103.249.70.7 kawpow.mine.zergpool.com
51.178.76.133 kawpow.mining-dutch.nl
149.56.111.148 kawpow.na.mine.zergpool.com
35.190.124.115 kawpow.usa.nicehash.com
139.99.125.226 kda-asia.ss.poolflare.net
45.76.180.119 kda-asia.ss.poolflare.net
217.182.199.123 kda-eu.ss.poolflare.com
51.195.60.157 kda-eu.ss.poolflare.net
168.119.79.208 kda-eu2.ss.poolflare.net
192.99.233.13 kda-us.ss.poolflare.com
192.99.233.13 kda-us.ss.poolflare.net
172.65.198.173 kda.f2pool.com
168.119.79.208 kda.ss.poolflare.com
192.99.233.13 kda.ss.poolflare.net
51.195.60.157 kda.ss.poolflare.net
47.95.128.206 kda.stratum.hashpool.com
51.79.251.11 keccak.asia.mine.zergpool.com
188.165.24.209 keccak.eu.mine.zpool.ca
34.111.174.176 keccak.eu.nicehash.com
34.111.174.176 keccak.hk.nicehash.com
198.50.168.213 keccak.jp.mine.zpool.ca
103.249.70.7 keccak.mine.zergpool.com
51.178.76.133 keccak.mining-dutch.nl
149.56.111.148 keccak.na.mine.zergpool.com
198.50.168.213 keccak.na.mine.zpool.ca
34.111.174.176 keccak.usa.nicehash.com
103.249.70.7 keccakc.asia.mine.zergpool.com
188.165.24.209 keccakc.eu.mine.zpool.ca
198.50.168.213 keccakc.jp.mine.zpool.ca
103.249.70.7 keccakc.mine.zergpool.com
198.50.168.213 keccakc.na.mine.zpool.ca
178.62.28.102 kp.unmineable.com
217.182.138.181 kreds.suprnova.cc
35.76.39.213 kva.ss.dxpool.com
172.65.167.30 kz.emcd.io
213.32.53.170 lb.geo.egempool.eu
213.32.53.170 lb.geo.pirlpool.eu
213.32.53.180 lb.geo.ubiqpool.org
34.107.203.102 lbc.luxor.tech
188.165.24.209 lbk3.eu.mine.zpool.ca
198.50.168.213 lbk3.jp.mine.zpool.ca
198.50.168.213 lbk3.na.mine.zpool.ca
51.79.251.11 lbry.asia.mine.zergpool.com
188.165.24.209 lbry.eu.mine.zpool.ca
34.111.210.68 lbry.eu.nicehash.com
34.111.210.68 lbry.hk.nicehash.com
198.50.168.213 lbry.jp.mine.zpool.ca
103.249.70.7 lbry.mine.zergpool.com
198.50.168.213 lbry.na.mine.zpool.ca
104.248.240.136 lbry.suprnova.cc
34.111.210.68 lbry.usa.nicehash.com
104.21.91.51 letshash.it
108.91.11.33 lidonia.com
88.80.187.187 litecoinpool.org
47.91.170.62 ls.huobipool.com
172.65.249.114 ltc-eu.f2pool.com
172.65.249.114 ltc-us.f2pool.com
172.65.249.114 ltc.f2pool.com
136.243.102.154 ltc.pool.minergate.com
13.248.179.52 ltc.ss.poolin.com
172.65.199.137 ltc.viabtc.com
172.65.204.210 ltc.viabtc.top
18.185.29.169 ltz.pcmining.xyz
51.178.76.133 lyra2rev2.mining-dutch.nl
51.79.251.11 lyra2v2.asia.mine.zergpool.com
188.165.24.209 lyra2v2.eu.mine.zpool.ca
198.50.168.213 lyra2v2.jp.mine.zpool.ca
103.249.70.7 lyra2v2.mine.zergpool.com
149.56.111.148 lyra2v2.na.mine.zergpool.com
198.50.168.213 lyra2v2.na.mine.zpool.ca
188.165.24.209 lyra2v3.eu.mine.zpool.ca
198.50.168.213 lyra2v3.jp.mine.zpool.ca
198.50.168.213 lyra2v3.na.mine.zpool.ca
51.79.251.11 lyra2z.asia.mine.zergpool.com
188.165.24.209 lyra2z.eu.mine.zpool.ca
198.50.168.213 lyra2z.jp.mine.zpool.ca
103.249.70.7 lyra2z.mine.zergpool.com
149.56.111.148 lyra2z.na.mine.zergpool.com
198.50.168.213 lyra2z.na.mine.zpool.ca
51.79.251.11 lyra2z330.asia.mine.zergpool.com
103.249.70.7 lyra2z330.mine.zergpool.com
149.56.111.148 lyra2z330.na.mine.zergpool.com
51.79.251.11 m7m.asia.mine.zergpool.com
141.95.55.97 m7m.eu.mine.zergpool.com
188.165.24.209 m7m.eu.mine.zpool.ca
198.50.168.213 m7m.jp.mine.zpool.ca
103.249.70.7 m7m.mine.zergpool.com
198.50.168.213 m7m.na.mine.zpool.ca
198.50.168.213 m7m.sea.mine.zpool.ca
188.165.198.144 masari.miner.rocks
176.57.189.38 mcmpool.eu
51.79.251.11 megabtx.asia.mine.zergpool.com
188.165.24.209 megabtx.eu.mine.zpool.ca
103.249.70.7 megabtx.mine.zergpool.com
51.79.251.11 megamec.asia.mine.zergpool.com
103.249.70.7 megamec.mine.zergpool.com
5.2.65.14 mine-beam-testnet.leafpool.com
139.99.106.122 mine.arqma.com
162.210.196.167 mine.bittubecash.fairpool.xyz
144.126.146.50 mine.c3pool.com
82.192.82.228 mine.etc.fairpool.xyz
82.192.82.228 mine.loki.fairpool.xyz
192.157.56.142 mine.msr.fairpool.xyz
13.248.169.48 mine.music.mypool.online
136.144.191.173 mine.nlpool.nl
37.48.65.154 mine.nuko.fairpool.xyz
185.107.56.195 mine.pgc.fairpool.xyz
139.162.181.76 mine.realpool.eu
37.48.65.154 mine.ryo.fairpool.xyz
